138 phage	468	350	V. cholerae El Tor	CP-T1	463	345	V. cholerae El Tor	83	83	alignments/350-345.xfma.png
GIt 11b	54	57	P. aeruginosa KRP1	PAGI-15	67	70	P. aeruginosa ST235, isolate IH2	44	44	alignments/57-70.xfma.png
GIt 11b	54	57	P. aeruginosa KRP1	PAGI-16	68	72	P. aeruginosa ST235, isolate KMU11	44	44	alignments/57-72.xfma.png
GI 2	56	59	P. aeruginosa KRP1	LESGI-6	13	15	P. aeruginosa LESB58	100	100	alignments/59-15.xfma.png
GI 13	55	58	P. aeruginosa KRP1	PAGI-1	1	1	Pseudomonas aeruginosa 24Pae112	76	76	alignments/58-1.xfma.png
GI 13	55	58	P. aeruginosa KRP1	LESGI-4	28	30	P. aeruginosa LESB58	38	38	alignments/58-30.xfma.png
GIt 14	51	54	P. aeruginosa KRP1	PAGI-11	12	14	P. aeruginosa PSE9	99	99	alignments/54-14.xfma.png
GIt 15	59	62	P. aeruginosa KRP1	LESGI-12	19	21	P. aeruginosa LESB58	100	100	alignments/62-21.xfma.png
GI 17	60	63	P. aeruginosa KRP1	LESGI-13	20	22	P. aeruginosa LESB58	89	89	alignments/63-22.xfma.png
GI 17	60	63	P. aeruginosa KRP1	PAGI-4	3	3	Pseudomonas aeruginosa 24Pae112	49	49	alignments/63-3.xfma.png
GIt 18	61	64	P. aeruginosa KRP1	LESGI-14	21	23	P. aeruginosa LESB58	99	99	alignments/64-23.xfma.png
GI 20	45	48	P. aeruginosa KRP1	PAGI-5	4	8	P. aeruginosa PSE9	100	100	alignments/48-8.xfma.png
GI 20	45	48	P. aeruginosa KRP1	PAGI-5	4	4	Pseudomonas aeruginosa 24Pae112	67	67	alignments/48-4.xfma.png
GI 21	62	65	P. aeruginosa KRP1	LESGI-15	22	24	P. aeruginosa LESB58	100	100	alignments/65-24.xfma.png
GI 22	63	66	P. aeruginosa KRP1	LESGI-16	23	25	P. aeruginosa LESB58	100	100	alignments/66-25.xfma.png
GI 23	64	67	P. aeruginosa KRP1	LES prophage 4	42	45	P. aeruginosa LESB58	75	75	alignments/67-45.xfma.png
PI 24b	48	51	P. aeruginosa KRP1	PAGI-8	9	11	P. aeruginosa PSE9	100	100	alignments/51-11.xfma.png
PI 24d	46	49	P. aeruginosa KRP1	PAGI-6	5	9	P. aeruginosa PSE9	100	100	alignments/49-9.xfma.png
PI 24d	46	49	P. aeruginosa KRP1	PAGI-6	5	5	Pseudomonas aeruginosa 24Pae112	69	69	alignments/49-5.xfma.png
ExoU-A	35	36	P. aeruginosa 6077	PAGI-4	3	3	Pseudomonas aeruginosa 24Pae112	100	100	alignments/36-3.xfma.png
ExoU-A	35	36	P. aeruginosa 6077	PAGI-5	4	8	P. aeruginosa PSE9	44	43	alignments/36-8.xfma.png
ExoU-A	35	36	P. aeruginosa 6077	PAGI-5	4	4	Pseudomonas aeruginosa 24Pae112	45	45	alignments/36-4.xfma.png
ExoU-C (islet)	37	38	P. aeruginosa 6077	PAGI-4	3	3	Pseudomonas aeruginosa 24Pae112	99	99	alignments/38-3.xfma.png
ExoU-C (islet)	37	38	P. aeruginosa 6077	ExoU-A	35	36	P. aeruginosa 6077	99	99	alignments/38-36.xfma.png
ExoU-C (islet)	37	38	P. aeruginosa 6077	ExoU-B	36	37	P. aeruginosa 6077	99	99	alignments/38-37.xfma.png
PAGI-5	4	8	P. aeruginosa PSE9	PAGI-4	3	3	Pseudomonas aeruginosa 24Pae112	35	35	alignments/8-3.xfma.png
PAGI-10	11	13	P. aeruginosa PSE9	PI/RI 12	50	53	P. aeruginosa KRP1	100	100	alignments/13-53.xfma.png
PAGI-10	11	13	P. aeruginosa PSE9	PAGI-17	7	7	Pseudomonas aeruginosa 24Pae112	68	68	alignments/13-7.xfma.png
LES prophage 3	41	44	P. aeruginosa LESB58	LES prophage 2	40	43	P. aeruginosa LESB58	38	38	alignments/44-43.xfma.png
LES prophage 6	44	47	P. aeruginosa LESB58	PAGI-15	67	70	P. aeruginosa ST235, isolate IH2	42	42	alignments/47-70.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI1)	306	221	Staphylococcus aureus subspecies aureus strain TW20	SaPIn1 (cGI1)	399	283	staaur_mu50	34	34	alignments/221-283.xfma.png
PAGI-16	68	72	P. aeruginosa ST235, isolate KMU11	PAGI-15	67	70	P. aeruginosa ST235, isolate IH2	96	95	alignments/72-70.xfma.png
PAGI-16	68	72	P. aeruginosa ST235, isolate KMU11	PAGI-13	65	68	Pseudomonas aeruginosa clone ST277, strain CCBH4851	52	51	alignments/72-68.xfma.png
PAGI-16	68	72	P. aeruginosa ST235, isolate KMU11	LESGI-3	27	29	P. aeruginosa LESB58	47	47	alignments/72-29.xfma.png
PAGI-16	68	72	P. aeruginosa ST235, isolate KMU11	PAGI-2	2	34	Pseudomonas aeruginosa Strain C	47	47	alignments/72-34.xfma.png
PAGI-15	67	70	P. aeruginosa ST235, isolate IH2	PAGI-16	68	71	P. aeruginosa ST235, isolate BP14	78	76	alignments/70-71.xfma.png
PAGI-15	67	70	P. aeruginosa ST235, isolate IH2	PAGI-13	65	68	Pseudomonas aeruginosa clone ST277, strain CCBH4851	45	44	alignments/70-68.xfma.png
PAGI-15	67	70	P. aeruginosa ST235, isolate IH2	LESGI-3	27	29	P. aeruginosa LESB58	37	37	alignments/70-29.xfma.png
PAGI-15	67	70	P. aeruginosa ST235, isolate IH2	PAGI-2	2	34	Pseudomonas aeruginosa Strain C	38	38	alignments/70-34.xfma.png
PAGI-16	68	71	P. aeruginosa ST235, isolate BP14	PAGI-13	65	68	Pseudomonas aeruginosa clone ST277, strain CCBH4851	52	51	alignments/71-68.xfma.png
PAGI-16	68	71	P. aeruginosa ST235, isolate BP14	LESGI-3	27	29	P. aeruginosa LESB58	46	46	alignments/71-29.xfma.png
PAGI-16	68	71	P. aeruginosa ST235, isolate BP14	PAGI-2	2	34	Pseudomonas aeruginosa Strain C	47	47	alignments/71-34.xfma.png
LESGI-3	27	29	P. aeruginosa LESB58	PAGI-13	65	68	Pseudomonas aeruginosa clone ST277, strain CCBH4851	38	38	alignments/29-68.xfma.png
LESGI-4	28	30	P. aeruginosa LESB58	PAGI-1	1	39	P. aeruginosa X24509	74	74	alignments/30-39.xfma.png
LESGI-4	28	30	P. aeruginosa LESB58	PAGI-1	1	1	Pseudomonas aeruginosa 24Pae112	74	74	alignments/30-1.xfma.png
LESGI-13	20	22	P. aeruginosa LESB58	PAGI-4	3	3	Pseudomonas aeruginosa 24Pae112	43	43	alignments/22-3.xfma.png
PAGI-4	3	3	Pseudomonas aeruginosa 24Pae112	PAGI-5	4	4	Pseudomonas aeruginosa 24Pae112	37	37	alignments/3-4.xfma.png
